('142.206.64.118', '142.206.0.0/16', 'AS2665')
('143.95.60.13', '143.95.32.0/19', 'AS36024')
('43.242.130.149', '43.242.130.0/24', 'AS133731')
('43.242.130.149', '43.242.130.0/24', 'AS134121')
('104.194.64.36', '104.194.64.0/21', 'AS25820')
('178.162.217.162', '178.162.128.0/17', 'AS28753')
('178.162.217.162', '178.162.192.0/18', 'AS28753')
('198.232.124.12', '198.232.124.0/22', 'AS3257')
('198.232.124.12', '198.232.124.0/24', 'AS54104')
('198.232.124.12', '198.232.124.0/27', 'AS54104')
('82.223.212.80', '82.223.0.0/16', 'AS8560')
('198.58.116.144', '198.58.96.0/19', 'AS63949')
('37.139.17.229', '37.139.0.0/19', 'AS200130')
('62.237.200.110', '62.236.0.0/15', 'AS16086')
('62.237.200.111', '62.236.0.0/15', 'AS16086')
('103.50.88.247', '103.50.88.0/24', 'AS4766')
('96.126.122.87', '96.126.112.0/20', 'AS63949')
('45.79.151.93', '45.79.128.0/19', 'AS63949')
('46.101.164.99', '46.101.128.0/18', 'AS201229')
('91.199.217.191', '91.199.217.0/24', 'AS3292')
('217.20.152.248', '217.20.144.0/20', 'AS47764')
('45.79.155.6', '45.79.128.0/19', 'AS63949')
('180.86.155.21', '180.86.0.0/16', 'AS4808')
('180.86.155.21', '180.86.0.0/16', 'AS4847')
('82.137.248.23', '82.137.240.0/20', 'AS29256')
('85.159.213.211', '85.159.208.0/21', 'AS63949')
('192.81.133.77', '192.81.132.0/22', 'AS63949')
('221.122.54.11', '221.122.0.0/15', 'AS4134')
('221.122.54.11', '221.122.0.0/18', 'AS4808')
('221.122.54.11', '221.122.32.0/19', 'AS4808')
('221.122.54.11', '221.122.48.0/20', 'AS4808')
('221.122.54.11', '221.122.48.0/20', 'AS23724')
('91.240.86.206', '91.240.86.0/23', 'AS29182')
('213.159.212.55', '213.159.212.0/23', 'AS29182')
('173.255.192.145', '173.255.192.0/20', 'AS63949')
('217.76.142.23', '217.76.128.0/19', 'AS8560')
('217.76.142.22', '217.76.128.0/19', 'AS8560')
('46.245.163.241', '46.245.163.0/24', 'AS197143')
('45.79.87.252', '45.79.64.0/18', 'AS63949')
('107.191.252.186', '107.191.252.0/24', 'AS394844')
('121.9.213.199', '121.8.0.0/13', 'AS4134')
('121.9.213.199', '121.9.212.0/23', 'AS134764')
('45.33.92.106', '45.33.64.0/19', 'AS63949')
('93.157.100.80', '93.157.96.0/21', 'AS34360')
('115.182.67.51', '115.182.0.0/16', 'AS4847')
('115.182.67.51', '115.182.64.0/20', 'AS4808')
('115.182.67.51', '115.182.64.0/20', 'AS4847')
('192.155.83.113', '192.155.80.0/21', 'AS63949')
('123.254.107.17', '123.254.104.0/21', 'AS133731')
('173.255.230.60', '173.255.224.0/20', 'AS63949')
('162.210.70.237', '162.210.70.0/23', 'AS394695')
('178.62.78.154', '178.62.64.0/18', 'AS202109')
('113.105.142.200', '113.96.0.0/12', 'AS4134')
('113.105.142.200', '113.105.136.0/21', 'AS134763')
('182.237.3.35', '182.237.0.0/22', 'AS55933')
('182.237.3.35', '182.237.0.0/22', 'AS133731')
('216.52.72.106', '216.52.64.0/20', 'AS12178')
('216.52.72.106', '216.52.72.0/23', 'AS2639')
('216.52.72.106', '216.52.72.0/24', 'AS2639')
('216.52.72.100', '216.52.64.0/20', 'AS12178')
('216.52.72.100', '216.52.72.0/23', 'AS2639')
('216.52.72.100', '216.52.72.0/24', 'AS2639')
('221.122.83.144', '221.122.0.0/15', 'AS4134')
('221.122.83.144', '221.122.64.0/18', 'AS4808')
('221.122.83.144', '221.122.64.0/19', 'AS4808')
('221.122.83.144', '221.122.80.0/20', 'AS4808')
('221.122.83.144', '221.122.80.0/20', 'AS23724')
('221.122.71.27', '221.122.0.0/15', 'AS4134')
('221.122.71.27', '221.122.64.0/18', 'AS4808')
('221.122.71.27', '221.122.64.0/19', 'AS4808')
('221.122.71.27', '221.122.64.0/20', 'AS4808')
('221.122.71.27', '221.122.64.0/20', 'AS23724')
('141.216.10.57', '141.216.0.0/16', 'AS394769')
('174.122.242.210', '174.120.0.0/14', 'AS36351')
('212.71.236.54', '212.71.232.0/21', 'AS63949')
('178.162.217.168', '178.162.128.0/17', 'AS28753')
('178.162.217.168', '178.162.192.0/18', 'AS28753')
('183.61.244.72', '183.0.0.0/10', 'AS4134')
('183.61.244.72', '183.61.224.0/19', 'AS134763')
('178.79.156.161', '178.79.128.0/18', 'AS63949')
('67.22.139.206', '67.22.139.0/24', 'AS13767')
('162.89.4.49', '162.89.0.0/20', 'AS393759')
('188.226.201.209', '188.226.128.0/17', 'AS200130')
('213.52.128.71', '213.52.128.0/22', 'AS63949')
('212.71.253.185', '212.71.248.0/21', 'AS63949')
('94.31.29.43', '94.31.0.0/18', 'AS6461')
('94.31.29.43', '94.31.29.0/24', 'AS54104')
('94.31.29.43', '94.31.29.32/28', 'AS54104')
('198.246.152.150', '198.246.152.0/24', 'AS3549')
('188.226.220.242', '188.226.128.0/17', 'AS200130')
('219.146.68.46', '219.146.0.0/16', 'AS4134')
('137.99.26.109', '137.99.0.0/16', 'AS13796')
('192.155.85.117', '192.155.80.0/21', 'AS63949')
('222.76.219.181', '222.76.0.0/14', 'AS4134')
('222.76.219.181', '222.76.208.0/20', 'AS133775')
('222.76.219.182', '222.76.0.0/14', 'AS4134')
('222.76.219.182', '222.76.208.0/20', 'AS133775')
('27.254.77.37', '27.254.0.0/16', 'AS4750')
('27.254.77.37', '27.254.76.0/22', 'AS4750')
('198.103.247.101', '198.103.0.0/16', 'AS2675')
('173.255.224.179', '173.255.224.0/20', 'AS63949')
('14.17.102.140', '14.16.0.0/12', 'AS4134')
('14.17.102.140', '14.17.100.0/22', 'AS134764')
('143.95.44.96', '143.95.32.0/19', 'AS36024')
('143.95.44.91', '143.95.32.0/19', 'AS36024')
('14.17.102.145', '14.16.0.0/12', 'AS4134')
('14.17.102.145', '14.17.100.0/22', 'AS134764')
('103.48.80.164', '103.48.80.0/22', 'AS45899')
('103.48.80.164', '103.48.80.0/23', 'AS45899')
('103.37.151.237', '103.37.144.0/21', 'AS4808')
('103.37.151.237', '103.37.144.0/21', 'AS23724')
('103.37.151.237', '103.37.144.0/21', 'AS59025')
('103.37.151.237', '103.37.148.0/22', 'AS59025')
('45.79.129.170', '45.79.128.0/19', 'AS63949')
('216.17.108.71', '216.17.96.0/20', 'AS19237')
('197.242.157.253', '197.242.152.0/21', 'AS37611')
('197.242.157.253', '197.242.156.0/22', 'AS37611')
('45.79.104.68', '45.79.64.0/18', 'AS63949')
('45.79.104.68', '45.79.96.0/20', 'AS63949')
('221.122.80.71', '221.122.0.0/15', 'AS4134')
('221.122.80.71', '221.122.64.0/18', 'AS4808')
('221.122.80.71', '221.122.64.0/19', 'AS4808')
('221.122.80.71', '221.122.80.0/20', 'AS4808')
('221.122.80.71', '221.122.80.0/20', 'AS23724')
('46.254.20.61', '46.254.20.0/23', 'AS203226')
('23.92.25.65', '23.92.24.0/22', 'AS63949')
('95.181.171.164', '95.181.171.0/24', 'AS50214')
('103.238.225.161', '103.238.224.0/22', 'AS133731')
('85.159.213.71', '85.159.208.0/21', 'AS63949')
('198.74.58.44', '198.74.56.0/21', 'AS63949')
('203.99.68.81', '203.99.68.0/24', 'AS4648')
('65.182.162.230', '65.182.162.0/24', 'AS22458')
('212.71.250.78', '212.71.248.0/21', 'AS63949')
('194.28.85.178', '194.28.85.0/24', 'AS196645')
('45.33.65.19', '45.33.64.0/19', 'AS63949')
('194.146.175.40', '194.146.172.0/22', 'AS8426')
('185.22.234.43', '185.22.234.0/23', 'AS203226')
('46.101.149.116', '46.101.128.0/18', 'AS201229')
('185.22.234.46', '185.22.234.0/23', 'AS203226')
('88.80.191.233', '88.80.184.0/21', 'AS63949')
('91.224.59.157', '91.224.58.0/23', 'AS57707')
('91.224.59.157', '91.224.59.0/24', 'AS201811')
('172.255.61.133', '172.255.60.0/22', 'AS36483')
('172.255.61.132', '172.255.60.0/22', 'AS36483')
('172.255.61.134', '172.255.60.0/22', 'AS36483')
('87.236.19.16', '87.236.16.0/21', 'AS198610')
('87.236.19.16', '87.236.19.0/24', 'AS198610')
('87.236.19.11', '87.236.16.0/21', 'AS198610')
('87.236.19.11', '87.236.19.0/24', 'AS198610')
('87.236.19.10', '87.236.16.0/21', 'AS198610')
('87.236.19.10', '87.236.19.0/24', 'AS198610')
('87.236.19.12', '87.236.16.0/21', 'AS198610')
('87.236.19.12', '87.236.19.0/24', 'AS198610')
('185.70.40.151', '185.70.40.0/24', 'AS198949')
('141.146.8.28', '141.146.0.0/17', 'AS792')
('162.251.85.157', '162.251.80.0/21', 'AS394695')
('210.211.124.228', '210.211.124.0/22', 'AS38731')
('45.33.88.140', '45.33.64.0/19', 'AS63949')
('198.246.32.114', '198.246.32.0/24', 'AS119999')
('198.246.32.114', '198.246.32.0/24', 'AS11999')
('103.40.162.83', '103.40.162.0/24', 'AS58879')
('59.36.100.135', '59.32.0.0/13', 'AS4134')
('59.36.100.135', '59.36.96.0/21', 'AS134763')
('31.22.112.88', '31.22.112.0/24', 'AS197746')
('173.244.202.57', '173.244.192.0/19', 'AS29854')
('173.244.202.57', '173.244.202.0/24', 'AS32780')
('222.76.218.10', '222.76.0.0/14', 'AS4134')
('222.76.218.10', '222.76.208.0/20', 'AS133775')
('222.76.218.11', '222.76.0.0/14', 'AS4134')
('222.76.218.11', '222.76.208.0/20', 'AS133775')
('94.198.241.105', '94.198.240.0/21', 'AS62160')
('94.198.241.100', '94.198.240.0/21', 'AS62160')
('45.56.82.80', '45.56.80.0/20', 'AS63949')
('91.196.124.110', '91.196.124.0/23', 'AS201200')
('118.26.26.82', '118.26.16.0/20', 'AS4808')
('118.26.26.82', '118.26.16.0/20', 'AS63691')
('46.32.0.198', '46.32.0.0/19', 'AS51431')
('46.32.0.198', '46.32.0.0/24', 'AS51431')
('31.148.220.98', '31.148.0.0/16', 'AS44546')
('31.148.220.98', '31.148.220.0/24', 'AS14576')
('46.32.0.196', '46.32.0.0/19', 'AS51431')
('46.32.0.196', '46.32.0.0/24', 'AS51431')
('69.164.196.197', '69.164.192.0/20', 'AS63949')
('119.147.106.224', '119.144.0.0/14', 'AS4134')
('119.147.106.224', '119.147.104.0/21', 'AS134763')
('188.127.239.149', '188.127.224.0/20', 'AS56694')
('188.127.239.149', '188.127.239.0/24', 'AS56694')
('45.33.21.229', '45.33.0.0/19', 'AS63949')
('203.192.1.11', '203.192.1.0/24', 'AS4611')
('45.33.2.233', '45.33.0.0/19', 'AS63949')
('109.74.193.139', '109.74.192.0/20', 'AS63949')
('199.227.218.71', '199.227.0.0/16', 'AS4323')
('199.227.218.71', '199.227.208.0/20', 'AS4323')
('199.227.218.71', '199.227.218.0/24', 'AS16695')
('50.116.52.63', '50.116.48.0/20', 'AS63949')
('64.95.128.197', '64.95.128.0/21', 'AS48910')
('64.95.128.197', '64.95.128.0/23', 'AS395424')
('31.14.143.6', '31.14.128.0/20', 'AS31034')
('103.231.13.11', '103.231.12.0/22', 'AS134121')
('103.231.13.11', '103.231.12.0/22', 'AS133731')
('199.27.144.186', '199.27.144.0/23', 'AS15228')
('64.95.128.199', '64.95.128.0/21', 'AS48910')
('64.95.128.199', '64.95.128.0/23', 'AS395424')
('121.14.145.156', '121.8.0.0/13', 'AS4134')
('121.14.145.156', '121.14.144.0/22', 'AS134763')
('183.195.153.1', '183.192.0.0/10', 'AS9808')
('183.195.153.1', '183.195.0.0/16', 'AS24400')
('217.26.210.127', '217.26.208.0/21', 'AS31042')
('169.241.10.32', '169.241.0.0/16', 'AS22164')
('50.7.98.2', '50.7.96.0/22', 'AS174')
('50.7.98.3', '50.7.96.0/22', 'AS174')
('169.241.10.36', '169.241.0.0/16', 'AS22164')
('178.162.193.216', '178.162.128.0/17', 'AS28753')
('178.162.193.216', '178.162.192.0/18', 'AS28753')
('203.192.7.16', '203.192.7.0/24', 'AS4611')
('216.17.111.118', '216.17.96.0/20', 'AS19237')
('178.57.219.110', '178.57.218.0/23', 'AS203226')
('178.162.201.13', '178.162.128.0/17', 'AS28753')
('178.162.201.13', '178.162.192.0/18', 'AS28753')
('185.17.144.147', '185.17.144.0/22', 'AS28753')
('203.99.68.110', '203.99.68.0/24', 'AS4648')
('178.79.134.114', '178.79.128.0/18', 'AS63949')
('111.118.215.222', '111.118.212.0/22', 'AS394695')
('111.118.215.222', '111.118.215.0/24', 'AS394695')
('37.1.220.12', '37.1.216.0/21', 'AS28753')
('77.223.144.132', '77.223.144.0/23', 'AS28753')
('69.73.181.191', '69.73.128.0/18', 'AS3595')
('91.109.16.15', '91.109.16.0/20', 'AS28753')
('23.239.1.35', '23.239.0.0/21', 'AS63949')
('104.200.31.138', '104.200.28.0/22', 'AS63949')
('208.91.198.107', '208.91.198.0/23', 'AS394695')
('208.91.198.107', '208.91.198.0/24', 'AS394695')
('115.182.53.16', '115.182.0.0/16', 'AS4847')
('115.182.53.16', '115.182.48.0/20', 'AS4808')
('115.182.53.16', '115.182.48.0/20', 'AS4847')
('23.237.2.58', '23.237.2.0/23', 'AS174')
('103.21.59.169', '103.21.58.0/23', 'AS394695')
('103.21.59.169', '103.21.59.0/24', 'AS394695')
('103.21.59.168', '103.21.58.0/23', 'AS394695')
('103.21.59.168', '103.21.59.0/24', 'AS394695')
('103.21.59.165', '103.21.58.0/23', 'AS394695')
('103.21.59.165', '103.21.59.0/24', 'AS394695')
